top_fraction,observations_flagged,failures_captured,precision,recall,mean_risk_flagged
0.005,321,57,0.17757009345794392,0.08545727136431784,0.9942444014191858
0.01,642,104,0.16199376947040497,0.15592203898050974,0.9911565093893813
0.02,1285,195,0.1517509727626459,0.29235382308845576,0.9865261799536342
0.05,3214,427,0.1328562538892346,0.6401799100449775,0.9764665954214881
0.1,6429,619,0.09628247005755172,0.9280359820089955,0.958730800388923
