feature,coefficient,abs_coefficient
defect_days_since_last,-17.29485521077239,17.29485521077239
condition_score,-0.8218425786119253,0.8218425786119253
degradation_rate,0.3082494769860675,0.3082494769860675
days_since_previous_measurement,-0.15736213729957022,0.15736213729957022
historical_mean_condition,-0.1506697908132228,0.1506697908132228
historical_observation_count,0.13569358722730565,0.13569358722730565
historical_mean_degradation,-0.11391167688364466,0.11391167688364466
inspection_days_since_last,-0.055062556127945105,0.055062556127945105
maintenance_count_before,0.04042861941765881,0.04042861941765881
measurement_confidence,-0.039144030728769534,0.039144030728769534
criticality_score,0.03665072268232327,0.03665072268232327
measurement_value,0.027604796482797938,0.027604796482797938
inspection_count_before,-0.023559851346430905,0.023559851346430905
incident_count_before,-0.021738917639518032,0.021738917639518032
previous_condition_score,0.017784569325657352,0.017784569325657352
historical_min_condition,0.017784461027526295,0.017784461027526295
condition_change,-0.016005399951801412,0.016005399951801412
inspection_quality,-0.008787058778056033,0.008787058778056033
asset_age_days,0.006139441081138333,0.006139441081138333
design_life_years,0.004567864871255875,0.004567864871255875
incident_days_since_last,0.003932395108400644,0.003932395108400644
defect_count_before,0.0031268413434770888,0.0031268413434770888
maintenance_days_since_last,0.0019361777995926073,0.0019361777995926073
