split,v2_pr_auc,v3_pr_auc,pr_auc_delta,v2_roc_auc,v3_roc_auc,roc_auc_delta
validation,0.1247794753838208,0.1322893622725831,0.007509886888762293,0.9605492622695148,0.9608491656734588,0.00029990340394403514
test,0.1419761901938403,0.1401383335245505,-0.0018378566692898168,0.9597968029299146,0.9621395039219094,0.0023427009919947395
